Frequency_kHz,Average_Vout_V,Minimum_Vout_V,Maximum_Vout_V,Output_Ripple_V,Average_IL_A,Inductor_Ripple_A
50,6.980732726752169,6.969952042328746,6.991010866438787,0.021058824110040675,0.466518390455489,0.3633751178352328
75,7.005929725938624,6.99806249667265,7.012465826533048,0.014403329860398273,0.46995084105185553,0.2435865233639698
100,7.013861114635965,7.010115546082805,7.0164315579666425,0.006316011883837902,0.4547230207634343,0.18775740991880696
150,7.016960380084186,7.014234822802572,7.019063528751232,0.00482870594866025,0.4385059963505398,0.1317378076050757
200,7.011608847872254,7.008916697893042,7.0142704290356965,0.005353731142654361,0.42580847019229057,0.09318591298515205
