Frequency_kHz,Average_Vout_V,Minimum_Vout_V,Maximum_Vout_V,Output_Ripple_V,Average_IL_A,Inductor_Ripple_A
50,6.980732726752169,6.969952042328746,6.991010866438787,0.0210588241100406,0.466518390455489,0.3633751178352328
75,7.005929725938624,6.99806249667265,7.012465826533048,0.0144033298603982,0.4699508410518555,0.2435865233639698
100,7.013861114635965,7.010115546082805,7.0164315579666425,0.0063160118838379,0.4547230207634343,0.1877574099188069
150,7.016960380084186,7.014234822802572,7.019063528751232,0.0048287059486602,0.4385059963505398,0.1317378076050757
200,7.011608847872254,7.008916697893042,7.0142704290356965,0.0053537311426543,0.4258084701922905,0.093185912985152
