Capacitor_uF,Average_Vout_V,Minimum_Vout_V,Maximum_Vout_V,Switching_Ripple_V,Switching_Ripple_mV
47,6.991763119279235,6.979601899604383,7.001293102269784,0.02169116240389446,21.69116240389446
100,6.992050888750248,6.986188603280288,6.996669649868386,0.010196035108045187,10.196035108045187
220,6.992203349991893,6.981306679461118,7.003095387743893,0.004677914891944734,4.677914891944734
470,6.9925043844251284,6.949936737842089,7.036242293321281,0.0027533197661433915,2.7533197661433917
