Duty_Cycle_percent,Average_Vout_V,Minimum_Vout_V,Maximum_Vout_V,Ripple_V,Output_Current_A,Output_Power_W,Ideal_Theory_Vout_V,Practical_Theory_Vout_V,Percentage_Error,Practical_Percentage_Error
20.0,5.550056440648784,5.543195061661129,5.55652942986601,0.0133343682048803,0.2312523516936993,1.2834636039327936,6.25,5.55,11.19909694961946,0.001016948626738
25.0,5.966664493059984,5.958765546647241,5.974263025285002,0.0154974786377612,0.248611020544166,1.4833785488642817,6.666666666666667,5.966666666666667,10.500032604100248,3.642916228637194e-05
30.0,6.442874715837845,6.433586595205824,6.451839312511713,0.0182527173058888,0.2684531131599101,1.729609775165941,7.142857142857143,6.442857142857143,9.79975397827018,0.0002727513634411
35.0,6.992203349991893,6.981306679461116,7.003095387743894,0.0217887082827781,0.2913418062496622,2.037121153651577,7.692307692307692,6.9923076923076914,9.10135645010538,0.001492244340349
40.0,7.633162739975762,7.620114700122984,7.64611188103433,0.0259971809113466,0.3180484474989901,2.4277155589564288,8.333333333333334,7.633333333333334,8.402047120290861,0.0022348474791058
45.0,8.3905514721693,8.374794514029599,8.405300224622286,0.0305057105926866,0.3496063113403875,2.933389750296767,9.09090909090909,8.39090909090909,7.703933806137695,0.0042619784807175
50.0,9.299358610018675,9.28001710877568,9.3179552205086,0.0379381117329202,0.3874732754174447,3.603252939905353,10.0,9.3,7.006413899813246,0.0068966664658639
55.00000000000001,10.410443903587652,10.385817518920886,10.433920783995926,0.0481032650750403,0.4337684959828188,4.515722594572722,11.111111111111112,10.411111111111111,6.30600486771113,0.006408610150627
60.0,11.798776776756826,11.767154074349284,11.829619236410156,0.0624651620608727,0.4916156990315343,5.80046389282234,12.5,11.8,5.609785785945391,0.010366298670971
