Load_Resistance_Ohm,Average_Vout_V,Minimum_Vout_V,Maximum_Vout_V,Output_Ripple_V,Output_Current_A,Output_Power_W,Average_Inductor_Current_A
10,6.992227978273056,6.986384047380089,6.997509537255251,0.0111254898751615,0.6992227978273056,4.88912521001445,1.0743666704264752
15,6.992578401964432,6.9885854757852925,6.996008847402869,0.0074233716175768,0.4661718934642954,3.259743513841296,0.7158185879011323
22,6.993548482085726,6.990329699198509,6.996238334392712,0.0059086351942028,0.3178885673675329,2.223169107785616,0.4844795430275933
27,6.987185644821369,6.9847194400783525,6.989239432401313,0.0045199923229608,0.2587846535119025,1.8081764161184373,0.3981686821293906
33,6.990968702765705,6.987269591391978,6.994249287754659,0.0069796963626815,0.2118475364474456,1.4810194970621091,0.3368346464738138
47,6.9858617550777655,6.981864716085754,6.989679973720431,0.007815257634677,0.1486353564910162,1.0383460523629404,0.2457212749251002
68,7.006264804537161,7.003922349887597,7.00774243094693,0.0038200810593327,0.1030333059490758,0.7218786251661198,0.1644547567062371
