Time_s,Gate_V,Inductor_Current_A,Output_Voltage_V,Switching_Node_V,Diode_Current_A,Load_Current_A
0.0,5.0,0.005,0.0,0.0,0.0,0.0
1e-07,5.0,0.01,0.0,0.0,0.0,0.0
2e-07,5.0,0.015,0.0,0.0,0.0,0.0
3e-07,5.0,0.02,0.0,0.0,0.0,0.0
4e-07,5.0,0.025,0.0,0.0,0.0,0.0
5e-07,5.0,0.03,0.0,0.0,0.0,0.0
6e-07,5.0,0.035,0.0,0.0,0.0,0.0
7e-07,5.0,0.04,0.0,0.0,0.0,0.0
8e-07,5.0,0.045,0.0,0.0,0.0,0.0
9e-07,5.0,0.0499999999999999,0.0,0.0,0.0,0.0
1e-06,5.0,0.0549999999999999,0.0,0.0,0.0,0.0
1.1e-06,5.0,0.0599999999999999,0.0,0.0,0.0,0.0
1.2e-06,5.0,0.0649999999999999,0.0,0.0,0.0,0.0
1.2999999999999998e-06,5.0,0.0699999999999999,0.0,0.0,0.0,0.0
1.4e-06,5.0,0.075,0.0,0.0,0.0,0.0
1.5e-06,5.0,0.08,0.0,0.0,0.0,0.0
1.6e-06,5.0,0.085,0.0,0.0,0.0,0.0
1.6999999999999998e-06,5.0,0.09,0.0,0.0,0.0,0.0
1.8e-06,5.0,0.095,0.0,0.0,0.0,0.0
1.9e-06,5.0,0.1,0.0,0.0,0.0,0.0
2e-06,5.0,0.105,0.0,0.0,0.0,0.0
2.1e-06,5.0,0.11,0.0,0.0,0.0,0.0
2.2e-06,5.0,0.115,0.0,0.0,0.0,0.0
2.3e-06,5.0,0.12,0.0,0.0,0.0,0.0
2.4e-06,5.0,0.125,0.0,0.0,0.0,0.0
2.5e-06,5.0,0.13,0.0,0.0,0.0,0.0
2.6e-06,5.0,0.135,0.0,0.0,0.0,0.0
2.7e-06,5.0,0.14,0.0,0.0,0.0,0.0
2.8e-06,5.0,0.145,0.0,0.0,0.0,0.0
2.9e-06,5.0,0.15,0.0,0.0,0.0,0.0
3e-06,5.0,0.155,0.0,0.0,0.0,0.0
3.1e-06,5.0,0.16,0.0,0.0,0.0,0.0
3.2e-06,5.0,0.165,0.0,0.0,0.0,0.0
3.3e-06,5.0,0.17,0.0,0.0,0.0,0.0
3.4e-06,5.0,0.175,0.0,0.0,0.0,0.0
3.5e-06,0.0,0.1793,7.954545454545456e-05,0.7,0.175,3.3143939393939403e-06
3.6e-06,0.0,0.1835999204545455,0.0001610439480027,0.7000795454545454,0.1793,6.710164500114786e-06
3.7e-06,0.0,0.1878997594105975,0.0002444954072255,0.7001610439480027,0.1835999204545455,1.018730863439595e-05
3.8e-06,0.0,0.1921995149151902,0.0003298997581809,0.7002444954072254,0.1878997594105975,1.374582325753919e-05
3.9e-06,0.0,0.1964991850154321,0.00041725692595,0.7003298997581809,0.1921995149151902,1.7385705247916703e-05
4e-06,0.0,0.2007987677585061,0.0005065668347273,0.7004172569259499,0.1964991850154321,2.110695144697322e-05
4.1e-06,0.0,0.2050982611916714,0.0005978294078214,0.7005065668347273,0.2007987677585061,2.490955865922813e-05
4.2e-06,0.0,0.2093976633622636,0.0006910445676546,0.7005978294078214,0.2050982611916714,2.8793523652277604e-05
