Inductor_uH,Average_Vout_V,Output_Ripple_V,Average_IL_A,Minimum_IL_A,Maximum_IL_A,Inductor_Ripple_A
47,6.992057892490746,0.0140557154949654,0.4452025644224101,0.2489714110732064,0.6411602845758505,0.3921888735026441
68,6.991987401081103,0.0171899906887231,0.4460142187158938,0.3055982563780504,0.5861579753831923,0.2805597190051418
100,6.992203349991895,0.0217887082828003,0.4466782628764842,0.3466380176350234,0.5462318478594471,0.1995938302244237
150,6.992182339105517,0.0266556021160848,0.4477786095981396,0.376710169824912,0.5189546653023506,0.1422444954774385
220,6.992556909451453,0.0318904335917489,0.4471025033599077,0.3942295717538643,0.4996749503160749,0.1054453785622105
330,6.992901467670039,0.0378600723111759,0.4475971253567703,0.4077764678144747,0.4895409863146072,0.0817645185001325
