Inductor_uH,Average_Vout_V,Output_Ripple_V,Average_IL_A,Minimum_IL_A,Maximum_IL_A,Inductor_Ripple_A
47,6.992057892490746,0.014055715494965426,0.4452025644224101,0.24897141107320642,0.6411602845758505,0.3921888735026441
68,6.9919874010811025,0.017189990688723178,0.44601421871589386,0.3055982563780504,0.5861579753831923,0.28055971900514187
100,6.992203349991895,0.02178870828280033,0.4466782628764842,0.3466380176350234,0.5462318478594471,0.19959383022442373
150,6.992182339105517,0.026655602116084864,0.44777860959813964,0.37671016982491207,0.5189546653023506,0.1422444954774385
220,6.992556909451453,0.03189043359174892,0.4471025033599077,0.39422957175386436,0.4996749503160749,0.10544537856221053
330,6.9929014676700385,0.03786007231117594,0.4475971253567703,0.4077764678144747,0.4895409863146072,0.0817645185001325
